2026-05-18 00:04:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:09:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:14:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:19:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:24:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:29:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:34:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:39:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:44:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:48:26 INFO  c.d.lmcustomerms.controllers.ClienteRESTController - Recibiendo solicitud para buscar cliente por ID: 1.
2026-05-18 00:48:26 INFO  c.d.lmcustomerms.controllers.ClienteRESTController - Solicitud para buscar cliente por ID: 1.=> encontrado.
2026-05-18 00:48:26 INFO  c.d.lmcustomerms.controllers.ClienteRESTController - Recibiendo solicitud para buscar cliente por ID: 1.
2026-05-18 00:48:26 INFO  c.d.lmcustomerms.controllers.ClienteRESTController - Solicitud para buscar cliente por ID: 1.=> encontrado.
2026-05-18 00:48:26 INFO  c.d.l.controllers.DireccionRESTController - Recibiendo solicitud para buscar direccion por ID: 2.
2026-05-18 00:48:26 INFO  c.d.l.controllers.DireccionRESTController - Solicitud para buscar direccion por ID: 2. => encontrado Direccion:O'Higgins45RancaguaRancaguaLibertador General Bernardo O'Higgins.
2026-05-18 00:49:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:54:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 00:59:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 01:04:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 01:09:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-05-18 01:14:20 INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
